ClassSkillIndex,Class,"ClassSkill
AcquireLevel",ClassSkillName,ClassSkillDescription,ClassSkillEffect,ClassSkillRange,ClassSkillTarget,ClassSkillMultiTarget,"ClassSkill
MultiTargetType","ClassSkill
MultiTargetCount",ClassSkillValue,ClassSkillSubValue,,,,
직업 스킬 인덱스,직업명, 습득 레벨,직업 스킬명,직업 스킬 설명,"직업 스킬 효과
(0 공격 1 회복)","직업 스킬 사정거리
(0 근거리 1 원거리)","직업 스킬 대상
(0 단일 1 복수 2 전체)","직업 스킬 복수 대상
(스킬 대상 1일 경우)","직업 스킬 
복수 대상 타입
(0 후보 전체 1 랜덤)
(스킬 대상 1일 경우)","직업 스킬 
복수 추가 대상 수
(스킬 대상 1일 경우)",직업 스킬 계수,직업 스킬 추가 계수,,,,
1010,워리어,1,도발 베기,"적 1명에게 120% 대미지를 입히고, 1턴 동안 해당 대상이 단일 공격 시 자신을 공격하게 한다. (적 전열이 있을 경우, 전열 우선 공격)",0,0,0,,,,1.2,,,,,
1020,워리어,3,일렬 베기,"적 한 열에 100% 대미지를 입힌다. (적 전열이 있을 경우, 전열 우선 공격)",0,0,1,"{1,5}",0,,1,,,,,
1030,워리어,5,관통,"전열의 적 한 명에게 60% 대미지를 입히고, 해당 후열에 있는 적 한 명에게 추가로 80% 대미지를 입힌다. (전열의 적이 없을 경우 후열의 적 한 명만을 공격)",0,0,0,{3},0,1,0.6,0.8,,,,
1040,워리어,7,광역 도발,"적 한 열에 100% 대미지를 입히고, 1턴 동안 모든 적이 단일 공격 시 자신을 공격하게 한다. (적 전열이 있을 경우, 전열 우선 공격)",0,0,1,"{1,5}",0,,1,,,,,
1050,워리어,10,돌파,적 1명에게 120% 대미지를 입힌다. (후열에 있는 적도 공격 가능하다.),0,0,0,,,,1.2,,,,,
1060,워리어,12,쌍렬 베기,적 전열과 후열의 모든 적에게 60% 대미지를 준다.,0,0,2,,,,0.6,,,,,
1070,워리어,15,불굴,"자신의 체력이 낮을수록 적 1명에게 높은 대미지를 입힌다. (기본 100% + 최대 체력 대비 현재 체력 20%가 낮아질 때마다 20% 추가, 최대 180%)",0,0,0,,,,1,,,,,
2010,아처,1,정밀 사격,적 1명에게 100% 대미지를 입힌다.,0,1,0,,,,1,,,,,
2020,아처,3,전열 저격,"적 1명에게 100% 대미지를 입힌다. 전열의 적을 공격 시, 120% 대미지로 계산한다.",0,1,0,,,,1.2,,,,,
2030,아처,5,후열 저격,적 1명에게 100% 대미지를 입힌다. 후열의 적을 공격 시 대미지 계산 전 회피율을 20% 내린다.,0,1,0,,,,1,,,,,
2040,아처,7,연속 사격,"적 1명에게 70% 대미지를 두 번 입힌다. (치명타, 회피율 판정은 각각 계산한다.)",0,1,0,{0},0,,0.7,0.7,,,,
2050,아처,10,급소 저격,적 1명에게 100% 대미지를 입힌다. 체력 70% 이하 대상 공격 시 대미지 계산 전 치명타 확률을 20% 올린다.,0,1,0,,,,1,,,,,
2060,아처,12,화살비,적 전열과 후열의 모든 적에게 50% 대미지를 준다.,0,1,2,,,,0.5,,,,,
2070,아처,15,최후의 일격,"적의 체력이 낮을 수록 높은 대미지를 입힌다. (기본 100% + 적의 최대 체력 대비 현재 체력 10%가 낮아질 때마다 10% 추가, 최대 180%)",0,1,0,,,,1,,,,,
3010,메이지,1,파이어볼,적 1명에게 100% 대미지를 입힌다.,0,1,0,,,,1,,,,,
