WeaponIndex,Class,WeaponName,WaeponDescription,BonusMaxHP,BonusATK,BonusDEF,BonusCriticalRate,BonusCounterRate,BonusReduceRate,BonusSpeed,WeaponSkillIndex,WeaponSkillName,WeaponSkillDescription,WeaponSkillEffect,WeaponSkillRange,WeaponSkillTarget,WeaponSkillMultiTarget,"WeaponSkill
MultiTargetType","WeaponSkill
MultiTargetCount",WeaponSkillValue,WeaponSkillSubValue
무기 인덱스,직업,무기명,무기 설명,최대 체력 증가량,공격력 증가량,방어력 증가량,치명타율 증가량,반격율 증가량,피해 경감 확률 증가량,스피드 증가량,무기 스킬 인덱스,무기 스킬명,무기 스킬 설명,"무기 스킬 효과
(0 공격 1 회복)","무기 스킬 사정거리
(0 근거리 1 원거리)","무기 스킬 대상
(0 단일 1 복수 2 전체)","무기 스킬 복수 대상
(스킬 대상 1일 경우)","무기 스킬 
복수 대상 타입
(0 후보 전체 1 랜덤)
(스킬 대상 1일 경우)","무기 스킬 
복수 추가 대상 수
(스킬 대상 1일 경우)",무기 스킬 계수,무기 스킬 추가 계수
310101,워리어,하급 도끼,기본 제공 무기,,1,,,,,,311010,강타,적 유닛 1명에게 100% 대미지를 준다. (전열 우선),0,0,0,,,,1,
310102,워리어,중급 도끼,후열 특화 무기,,2,,15%,,,,311020,기합,적 유닛 1명에게 기합을 날려 원거리 대미지 120%를 준다.,0,0,0,,,,1.2,
310103,워리어,상급 도끼,최상급 무기,,3,,,10%,,,311030,회전 베기,적 유닛 1명에게 150% 대미지를 준다. (전열 우선),0,0,0,,,,1.5,
310201,아처,하급 활,기본 제공 무기,,1,,,,,,312010,정밀 조준,적 유닛 1명에게 100% 대미지를 준다. ,0,1,0,,,,1,
310202,아처,중급 활,전열 특화 무기,,2,,,15%,,,312020,숏보우,적 한 열의 적에게 화살을 발사하여 80% 대미지를 준다 (전열 우선),0,0,1,"{1,5}",0,,0.8,
310203,아처,상급 활,최상급 무기,,3,,10%,,,,312030,속사,적 유닛 한 명에게 80% 대미지를 주는 화살을 두 발 발사한다. (확률 보정은 독립적으로 진행),0,1,0,,,,0.8,0.8
310301,메이지,하급 완드,기본 제공 무기,,1,,,,,,313010,매직 미사일,적 유닛 1명에게 100% 대미지를 준다. ,0,1,0,,,,1,
310302,메이지,중급 완드,전열 특화 무기,,2,,7%,7%,,,313020,더블 클로,"적 1명에게 60% 대미지를 주고, 인접한 적 1명에게 추가로 60% 대미지를 준다. (근거리로 취급하나 후열 공격 가능)",0,0,1,"{1,3,5}",1,1,0.6,0.6
310303,메이지,상급 완드,최상급 무기,,3,,5%,,5%,,313030,마력 방출,적 모든 유닛에게 80% 대미지를 준다.,0,1,2,,,,0.8,
310401,클레릭,하급 스태프,기본 제공 무기,,1,,,,,,314010,성광,적 유닛 1명에게 100% 대미지를 준다.,0,1,0,,,,1,
310402,클레릭,중급 스태프,공격 특화 무기,,5,,10%,,,,314020,신성한 주먹,적 유닛 1명을 신성력을 두른 완드로 근접 타격하여 120% 대미지를 준다. (전열 우선),0,0,0,,,,1.2,
310403,클레릭,상급 스태프,최상급 무기,,3,,,,10%,,314030,성스러운 일격,"적 모든 유닛에게 60% 대미지를 주고, 입힌 피해만큼 체력을 회복한다.",0,1,2,,,,0.6,
310501,나이트,하급 검,기본 제공 무기,,1,,,,,,315010,베어가르기,적 유닛 1명에게 100% 대미지를 준다. (전열 우선),0,0,0,,,,1,
310502,나이트,중급 검,후열 특화 무기,,2,,7%,,7%,,315020,환영 공격,자신이 후열일 경우 후열 공격이 가능하다. 근거리 공격 120% 대미지를 준다. (후열이 아닌 경우 전열 우선),0,1,0,,,,1.2,
310503,나이트,상급 검,최상급 무기,,3,,10%,,,,315030,강습,적 유닛 1명에게 150% 대미지를 준다. (전열 우선),0,0,0,,,,1.5,
