ClassSkillIndex,Class,"ClassSkill
AcquireLevel",ClassSkillName,ClassSkillDescription,IPCost,ClassSkillEffect,ClassSkillRange,ClassSkillRangeLine,ClassSkillTarget,ClassSkillMultiTarget,"ClassSkill
MultiTargetType","ClassSkill
MultiTargetCount",ClassSkillValue,ClassSkillSubValue
직업 스킬 인덱스,직업명, 습득 레벨,직업 스킬명,직업 스킬 설명,IP 코스트,"직업 스킬 효과
(0 공격 1 회복)","직업 스킬 사정거리
(0 근거리 1 원거리)","직업 스킬
사정거리 라인
0 전열 우선 (적 전열이 있을 경우 전열 공격) 
1 전열/후열 선택 가능
2 후열 우선 ","직업 스킬 대상
(0 단일 1 복수 2 전체)","직업 스킬 복수 대상
(스킬 대상 1일 경우)","직업 스킬 
복수 대상 타입
(0 후보 전체 1 랜덤)
(스킬 대상 1일 경우)","직업 스킬 
복수 추가 대상 수
(스킬 대상 1일 경우)",직업 스킬 계수,직업 스킬 추가 계수
1010,가디언,1,도발 베기,"적 1명에게 120% 대미지를 입히고, 1턴 동안 해당 대상이 단일 공격 시 자신을 공격하게 한다. (적 전열이 있을 경우, 전열 우선 공격)",0,0,0,0,0,,,,1.2,
1020,가디언,3,일렬 베기,"적 한 열에 100% 대미지를 입힌다. (적 전열이 있을 경우, 전열 우선 공격)",0,0,0,0,1,{9},0,,1,
1030,가디언,5,관통,"전열의 적 한 명에게 60% 대미지를 입히고, 해당 후열에 있는 적 한 명에게 추가로 80% 대미지를 입힌다. (전열의 적이 없을 경우 후열의 적 한 명만을 공격)",0,0,0,0,1,{3},0,1,0.6,0.8
1040,가디언,7,광역 도발,"적 한 열에 100% 대미지를 입히고, 1턴 동안 모든 적이 단일 공격 시 자신을 공격하게 한다. (적 전열이 있을 경우, 전열 우선 공격)",0,0,0,0,1,{10},0,,1,
1050,가디언,10,돌파,적 1명에게 120% 대미지를 입힌다. (후열에 있는 적도 공격 가능하다.),0,0,0,1,0,,,,1.2,
1060,가디언,12,쌍렬 베기,적 전열과 후열의 모든 적에게 60% 대미지를 준다.,0,0,0,1,2,{10},,,0.6,
1070,가디언,15,불굴,"자신의 체력이 낮을수록 적 1명에게 높은 대미지를 입힌다. (기본 100% + 최대 체력 대비 현재 체력 20%가 낮아질 때마다 20% 추가, 최대 180%)",0,0,0,0,0,,,,1,
2010,블래스터,1,파이어볼,적 1명에게 100% 대미지를 입힌다.,0,0,1,1,0,,,,1,
2020,블래스터,3,번개 확산,적 한 열에 80% 대미지를 입힌다.,0,0,1,1,1,{9},0,,0.8,
2030,블래스터,5,마력 집중,적 한 명에게 180% 대미지를 입힌다. 다음 자신의 턴 1턴을 건너뛴다.,0,0,1,1,0,,,,1.8,
2040,블래스터,7,연쇄 번개,"전열의 적 한 명에게 70% 대미지를 입히고, 인접한 적 한 명에게 추가로 50% 대미지를 입힌다.",0,0,1,1,0,"{1,3,5}",1,1,0.7,0.5
2050,블래스터,10,메테오,적 전열과 후열의 모든 적에게 60% 대미지를 준다.,0,0,1,1,2,{10},,,0.6,
2060,블래스터,12,마력 폭발,"적 1명에게 체력이 높을수록 높은 대미지를 입힌다. (기본 150% + 적의 최대 체력 대비 현재 체력 10%가 낮아질 때마다 10% 감소, 최소 100%)",0,0,1,1,0,,,,1.5,
2070,블래스터,15,붕괴,"이 공격을 맞는 적의 수가 적을수록 높은 대미지를 입힌다. (기본 100% + 전 진형의 빈 칸 하나당 20%, 최대 180%)",0,0,1,1,2,{10},,,1,
3010,스트라이커,1,정밀 사격,적 1명에게 100% 대미지를 입힌다.,0,0,1,1,0,,,,1,
3020,스트라이커,3,전열 저격,"적 1명에게 100% 대미지를 입힌다. 전열의 적을 공격 시, 120% 대미지로 계산한다.",0,0,1,1,0,,,,1.2,
3030,스트라이커,5,후열 저격,적 1명에게 100% 대미지를 입힌다. 후열의 적을 공격 시 대미지 계산 전 회피율을 20% 내린다.,0,0,1,1,0,,,,1,
3040,스트라이커,7,연속 사격,"적 1명에게 70% 대미지를 두 번 입힌다. (치명타, 회피율 판정은 각각 계산한다.)",0,0,1,1,0,{0},0,,0.7,0.7
